household_id,date,location_type,climate_zone,household_size,income_level,inflation_rate,electricity_tariff_rate,past_month_units,ac_hours,fan_hours,next_month_units
2,2015-01-01,Urban,WetWarm,4,High,5.85,40.12,113.8,5.9,9.28,112.8
3,2018-08-01,Urban,Cool,3,Middle,6.5,44.19,48.2,0.99,4.99,58.9
15,2018-12-01,Rural,DryHot,7,Low,5.9,44.28,51.6,0.17,3.2,58.9
17,2020-05-01,Rural,DryHot,5,Low,6.62,49.01,42.3,0.07,1.99,45.7
6,2018-12-01,Urban,Cool,5,Middle,5.9,44.28,59.4,1.33,4.86,43.9
10,2023-01-01,Semi-urban,WetWarm,6,Middle,7.75,52.12,113.0,5.2,8.21,85.9
12,2022-03-01,Semi-urban,WetWarm,4,Low,6.81,49.83,49.3,0.75,3.93,49.7
12,2024-09-01,Semi-urban,WetWarm,4,Low,8.7,53.58,44.2,0.46,2.53,42.7
17,2017-08-01,Rural,DryHot,5,Low,5.69,43.38,44.6,0.28,2.05,51.8
5,2024-12-01,Urban,WetWarm,6,High,8.25,53.18,111.3,5.07,8.28,
3,2017-12-01,Urban,Cool,3,Middle,5.13,43.91,50.1,1.15,5.53,57.1
17,2020-04-01,Rural,DryHot,5,Low,6.4,47.05,46.7,0.37,2.08,42.3
10,2015-10-01,Semi-urban,WetWarm,6,Middle,4.05,39.64,115.5,5.66,7.86,67.8
4,2015-01-01,Urban,Cool,7,High,5.85,40.12,55.0,0.38,6.51,60.4
14,2018-12-01,Semi-urban,WetWarm,7,Middle,5.9,44.28,108.2,4.62,9.72,121.2
18,2015-09-01,Rural,DryHot,6,Low,4.94,39.84,56.9,0.94,3.44,54.9
10,2023-12-01,Semi-urban,WetWarm,6,Middle,7.95,51.32,111.3,5.09,7.77,116.9
18,2024-01-01,Rural,DryHot,6,Low,8.24,53.11,54.3,0.7,2.33,55.1
4,2023-02-01,Urban,Cool,7,High,7.16,53.38,72.1,1.67,6.8,60.4
16,2023-09-01,Rural,DryHot,8,Low,8.1,51.89,57.4,0.42,1.98,62.3
7,2016-10-01,Urban,WetWarm,4,Middle,6.66,40.85,47.4,0.61,5.64,112.8
12,2023-12-01,Semi-urban,WetWarm,4,Low,7.95,51.32,45.5,0.42,3.98,44.9
16,2016-02-01,Rural,DryHot,8,Low,4.35,40.95,54.5,0.18,2.52,56.9
14,2015-03-01,Semi-urban,WetWarm,7,Middle,4.31,39.53,91.6,3.42,6.57,114.4
17,2019-08-01,Rural,DryHot,5,Low,5.03,45.1,44.2,0.21,2.1,45.4
3,2018-11-01,Urban,Cool,3,Middle,4.94,45.11,42.3,0.56,4.55,40.8
19,2017-05-01,Rural,DryHot,6,Low,3.98,41.54,50.7,0.44,2.63,50.4
4,2018-11-01,Urban,Cool,7,High,4.94,45.11,72.5,1.92,4.57,61.0
14,2019-04-01,Semi-urban,WetWarm,7,Middle,5.72,47.74,91.7,3.3,7.04,122.7
2,2018-08-01,Urban,WetWarm,4,High,6.5,44.19,81.8,3.29,6.92,114.5
6,2022-12-01,Urban,Cool,5,Middle,8.4,50.51,64.1,1.72,4.38,51.8
11,2015-05-01,Semi-urban,WetWarm,7,Middle,3.28,40.53,116.2,5.33,9.33,106.4
4,2020-04-01,Urban,Cool,7,High,6.4,47.05,69.7,1.53,6.12,68.1
14,2021-09-01,Semi-urban,WetWarm,7,Middle,8.17,49.5,101.9,4.06,7.59,107.9
13,2015-07-01,Semi-urban,DryHot,4,Middle,4.18,41.28,113.8,5.85,10.03,111.2
12,2024-10-01,Semi-urban,WetWarm,4,Low,7.89,54.04,42.7,0.39,1.86,44.7
11,2021-07-01,Semi-urban,WetWarm,7,Middle,6.41,49.22,100.4,4.01,7.1,90.1
1,2020-06-01,Urban,WetWarm,2,High,6.37,48.4,95.7,4.81,9.97,77.7
20,2016-08-01,Rural,DryHot,8,Low,3.6,42.39,55.5,0.32,2.88,59.9
15,2017-10-01,Rural,DryHot,7,Low,5.48,43.4,56.6,0.71,1.97,53.4
20,2020-07-01,Rural,DryHot,8,Low,6.81,47.2,58.1,0.58,2.03,63.5
13,2021-07-01,Semi-urban,DryHot,4,Middle,6.41,49.22,113.3,5.72,9.43,114.8
2,2024-03-01,Urban,WetWarm,4,High,9.17,54.27,85.6,3.61,6.5,93.4
15,2020-09-01,Rural,DryHot,7,Low,6.43,47.17,58.6,0.72,3.53,51.3
5,2023-07-01,Urban,WetWarm,6,High,6.92,52.71,119.4,5.82,6.63,104.2
12,2022-09-01,Semi-urban,WetWarm,4,Low,7.7,49.7,50.5,0.99,1.94,47.6
13,2016-12-01,Semi-urban,DryHot,4,Middle,4.19,41.66,86.5,3.8,7.21,84.5
5,2024-09-01,Urban,WetWarm,6,High,8.7,53.58,94.7,3.83,6.46,118.0
8,2022-08-01,Urban,WetWarm,2,High,4.83,50.03,93.0,4.77,7.54,105.8
4,2016-03-01,Urban,Cool,7,High,4.66,41.43,65.7,1.42,3.83,72.8
6,2016-09-01,Urban,Cool,5,Middle,5.3,42.99,59.5,1.28,6.91,61.7
12,2020-03-01,Semi-urban,WetWarm,4,Low,6.58,46.09,50.6,0.94,2.39,43.1
19,2020-01-01,Rural,DryHot,6,Low,7.09,48.14,45.5,0.02,1.21,46.3
3,2019-10-01,Urban,Cool,3,Middle,6.79,46.41,49.8,0.95,6.16,51.8
12,2016-02-01,Semi-urban,WetWarm,4,Low,4.35,40.95,47.2,0.74,1.38,49.3
