household_id,date,location_type,climate_zone,household_size,income_level,inflation_rate,electricity_tariff_rate,past_month_units,ac_hours,fan_hours,tv_hours,fridge_hours,next_month_units
1,2015-01-01,Urban,WetWarm,5,High,3.03,39.02,107.6,4.12,9.8,5.93,24,102.5
1,2015-02-01,Urban,WetWarm,5,High,4.12,39.61,95.8,3.17,9.46,5.4,24,92.3
1,2015-03-01,Urban,WetWarm,5,High,3.87,40.3,94.7,3.06,9.88,6.33,24,91.0
1,2015-04-01,Urban,WetWarm,5,High,3.05,39.79,102.6,3.91,8.1,4.73,24,95.6
1,2015-05-01,Urban,WetWarm,5,High,3.7,38.66,112.4,4.84,6.56,4.17,24,109.7
1,2015-06-01,Urban,WetWarm,5,High,4.02,39.54,99.0,3.6,8.06,5.37,24,93.5
1,2015-07-01,Urban,WetWarm,5,High,3.48,41.37,112.8,4.82,6.68,3.26,24,101.7
1,2015-08-01,Urban,WetWarm,5,High,4.75,39.59,115.6,5.05,7.76,3.49,24,106.7
1,2015-09-01,Urban,WetWarm,5,High,3.87,39.89,93.9,3.1,9.64,4.04,24,92.7
1,2015-10-01,Urban,WetWarm,5,High,2.93,39.2,113.0,4.64,6.74,6.88,24,96.5
1,2015-11-01,Urban,WetWarm,5,High,2.86,40.41,128.0,5.82,9.58,5.39,24,119.7
1,2015-12-01,Urban,WetWarm,5,High,4.48,40.08,106.6,4.17,7.09,6.31,24,98.3
1,2016-01-01,Urban,WetWarm,5,High,3.31,40.98,101.9,3.84,8.17,3.56,24,94.0
1,2016-02-01,Urban,WetWarm,5,High,4.75,40.59,94.4,3.02,9.26,5.83,24,94.1
1,2016-03-01,Urban,WetWarm,5,High,4.86,42.48,118.4,5.31,6.3,4.43,24,109.8
1,2016-04-01,Urban,WetWarm,5,High,3.7,40.38,102.3,3.99,6.25,4.24,24,98.9
1,2016-05-01,Urban,WetWarm,5,High,5.21,41.85,120.5,5.19,8.55,6.55,24,114.1
1,2016-06-01,Urban,WetWarm,5,High,3.13,39.99,120.6,5.28,8.25,6.08,24,110.0
1,2016-07-01,Urban,WetWarm,5,High,4.74,42.0,109.1,4.57,7.71,3.1,24,102.8
1,2016-08-01,Urban,WetWarm,5,High,4.47,42.18,104.8,3.94,8.03,6.63,24,97.9
1,2016-09-01,Urban,WetWarm,5,High,4.4,42.27,106.4,4.23,9.02,3.92,24,98.5
1,2016-10-01,Urban,WetWarm,5,High,3.56,41.39,127.7,5.79,9.23,5.53,24,117.5
1,2016-11-01,Urban,WetWarm,5,High,3.75,42.61,122.1,5.41,6.75,6.57,24,109.1
1,2016-12-01,Urban,WetWarm,5,High,5.8,43.12,102.4,3.68,7.71,6.27,24,95.1
1,2017-01-01,Urban,WetWarm,5,High,5.97,42.77,92.2,3.02,8.04,4.67,24,87.2
1,2017-02-01,Urban,WetWarm,5,High,5.59,42.68,126.8,5.83,7.29,5.08,24,113.2
1,2017-03-01,Urban,WetWarm,5,High,5.75,43.1,108.1,4.09,9.89,6.85,24,96.3
1,2017-04-01,Urban,WetWarm,5,High,5.68,42.67,102.2,3.85,6.15,5.44,24,94.5
1,2017-05-01,Urban,WetWarm,5,High,4.74,42.56,94.8,3.15,7.11,6.63,24,89.5
1,2017-06-01,Urban,WetWarm,5,High,5.04,42.62,128.7,5.96,6.97,5.69,24,112.9
1,2017-07-01,Urban,WetWarm,5,High,3.82,44.2,101.6,3.71,8.91,4.47,24,99.6
1,2017-08-01,Urban,WetWarm,5,High,4.93,43.54,95.7,3.27,9.34,4.28,24,101.8
1,2017-09-01,Urban,WetWarm,5,High,5.95,42.66,94.2,3.12,8.36,5.71,24,84.4
1,2017-10-01,Urban,WetWarm,5,High,4.47,41.28,115.4,4.94,6.7,5.76,24,106.6
1,2017-11-01,Urban,WetWarm,5,High,5.82,41.92,124.5,5.81,6.55,4.36,24,117.2
1,2017-12-01,Urban,WetWarm,5,High,5.07,43.35,122.1,5.45,8.22,5.12,24,108.8
1,2018-01-01,Urban,WetWarm,5,High,4.39,43.01,98.4,3.28,9.59,6.6,24,90.4
1,2018-02-01,Urban,WetWarm,5,High,4.61,44.71,121.8,5.18,9.59,6.55,24,109.5
1,2018-03-01,Urban,WetWarm,5,High,6.24,43.75,114.7,4.93,6.34,3.65,24,106.3
1,2018-04-01,Urban,WetWarm,5,High,5.94,44.56,92.7,3.02,6.64,5.19,24,84.2
1,2018-05-01,Urban,WetWarm,5,High,5.58,44.54,116.1,4.96,6.9,5.85,24,111.7
1,2018-06-01,Urban,WetWarm,5,High,5.28,44.58,117.9,4.95,9.4,5.63,24,108.1
1,2018-07-01,Urban,WetWarm,5,High,5.67,44.22,94.7,3.28,7.47,4.06,24,89.7
1,2018-08-01,Urban,WetWarm,5,High,6.2,44.2,126.5,5.68,8.52,6.18,24,119.0
1,2018-09-01,Urban,WetWarm,5,High,6.68,44.0,68.0,1.15,4.97,3.78,24,60.3
1,2018-10-01,Urban,WetWarm,5,High,6.72,44.84,129.4,5.82,9.82,6.66,24,123.5
1,2018-11-01,Urban,WetWarm,5,High,5.8,45.06,95.0,3.05,9.71,4.71,24,89.2
1,2018-12-01,Urban,WetWarm,5,High,5.36,43.65,122.2,5.55,7.27,3.68,24,106.5
1,2019-01-01,Urban,WetWarm,5,High,6.12,45.96,127.1,5.81,8.78,5.28,24,118.8
1,2019-02-01,Urban,WetWarm,5,High,6.42,46.14,126.6,5.63,8.96,5.79,24,113.5
1,2019-03-01,Urban,WetWarm,5,High,6.41,46.13,107.1,4.08,7.17,6.24,24,101.7
